module_or_function,stage,unit,criterion,default_state,timing,current_effect,classification,replacement_disposition,status
src/classical_conditioning/analysis/inference/mixed_effects.py::build_mixed_effects,exploratory inference,recording,manual recording_ids,required,post-outcome,uses independently selected recordings,manual population selection,"retire for confirmatory onset or require cohort-authenticated model input",active_bypass
src/classical_conditioning/analysis/inference/fish_permutation.py::build_fish_permutation,exploratory inference,recording_or_fish,manual recording_ids,required,post-outcome,uses independently selected recordings,manual population selection,"route confirmatory robustness through learning-onset cohort model input",active_bypass
src/classical_conditioning/analysis/inference/fish_bootstrap.py::build_fish_bootstrap,exploratory inference,recording_or_fish,manual recording_ids,required,post-outcome,uses independently selected recordings,manual population selection,"route confirmatory robustness through learning-onset cohort model input",active_bypass
src/classical_conditioning/analysis/inference/learning_onset.py::build_learning_onset_analysis,confirmatory inference,trial_or_fish,frozen cohort plus named eligibility,required,post-cohort,keeps cohort fixed and varies only observation eligibility,analysis eligibility,"retain as supported learning-onset route",implemented_correctly
legacy/scripts/1_Preprocessing_IndividualFishPlotting_ProtocolPlotting_Discarding.py::run_discard,legacy preprocessing QC,fish,legacy behavioral/QC thresholds with text logs and file moves,enabled,post-outcome,writes discard lists and moves processed and raw files,legacy cohort decision_and_destructive_file_management,"leave archived; never move or delete source data; translate approved technical reasons into reviewed cohort rows",archived_do_not_modify
src/classical_conditioning/analysis/discarding.py::assess_discarding,two-stage technical and exploratory assessment,fish,"technical evidence; source-linked legacy preprocessing checks; merged learner-input prerequisite",required,post-outcome_pre-cohort,"publishes separate technical and exploratory dispositions with assessment hash without moving files",cohort review plus behavioral sensitivity,"technical evidence may inform reviewed primary cohort; exploratory status cannot define it",implemented_paper_validation_open
planned::legacy_stage5_sensitivity,legacy normalized-vigor sensitivity,fish_or_block,"reproduce historical any-block OR minimum-trial rule and compare with all-required-block rule",disabled,post-outcome,"not yet calculated in assess-discarding",analysis sensitivity,"implement as a named sensitivity outside assess-discarding; never use as primary cohort membership",planned
legacy/scripts/3_FishGrouping.py,legacy grouping,fish,legacy discard list affects grids but not pooled rows,enabled,post-outcome,display and pooled data can use different fish,legacy cohort decision,"leave archived; reproduce only with an explicit legacy-equivalent cohort manifest",archived_do_not_modify
legacy/scripts/4_ScaledVigorPlotting.py,legacy scaled vigor,fish,Discarded_fish_IDs.txt / APPLY_FISH_DISCARD,enabled,post-outcome,filters fish locally before pooled aggregation,legacy cohort decision,"leave archived; wrap reproduction in legacy-equivalent cohort",archived_do_not_modify
legacy/scripts/5_NormalizedVigorPlotting.py,legacy normalized vigor,fish_or_block,discard switch plus minimum-trial OR logic,discard disabled,post-outcome,can retain sparse rows when any block passes and defines a different cohort,legacy cohort decision_and_analysis eligibility,"leave archived; reproduce OR rule only as named sensitivity outside assess-discarding; supported LME retains separate row eligibility",archived_known_bug_sensitivity_planned
legacy/scripts/6_LearnersQuantification.py and variants,legacy learner analysis,fish,feature completeness and variant-specific discard behavior,varies,post-outcome,learner populations differ across variants,learner eligibility,"leave archived; current assessment records a merged pre-fit prerequisite; later recipe-specific eligibility remains open",archived_recipe_eligibility_open
imaging and cross-modal joins,deferred multimodal analysis,fish,imaging availability or successful identity join,not_in_active_behavior_route,post-behavior,can reduce multimodal contributors,modality eligibility,"never alter behavior-primary inclusion; publish multimodal eligibility separately",deferred
example-fish selectors,figures,fish,manual example choice,optional,post-inference,changes only displayed examples,display selection,"record selected fish and rationale in figure provenance; never affect inference",allowed_display_only
